iso_code,continent,location,population,medianAge,bed,flag_wave,flag_type,K,startpoint,endpoint,startpoint_rough,endpoint_rough,confirmed_wave,deaths_wave,maxQuarantined_wave,tau,tau_lb,tau_ub,s0,s0_lb,s0_ub,tc,tc_lb,tc_ub,startDate,endDate,duration
AFG,Asia,Afghanistan,38928341,18.6,0.5,3,1,7.074654373,4,92,420,600,88549,4279,138956,12.4387702,12.0076133,12.8699271,11.16276552,11.01201867,11.31351236,44.22762833,43.64987843,44.80537823,19-May-0021,15-Aug-0021,89
SWZ,Africa,Eswatini,1160164,21.5,2.1,3,1,7.462121645,7,96,440,600,26921,546,44482,11.92690286,11.67454984,12.17925588,47.73423357,47.36751179,48.10095535,43.89420296,43.56479314,44.22361279,05-Jul-0021,02-Oct-0021,90
MDG,Africa,Madagascar,27691019,19.6,0.2,3,1,7.200172669,5,86,570,696,18859,394,18465,11.24973021,10.57814501,11.92131542,1.430577522,1.398700318,1.462454727,39.83802952,38.95447184,40.72158721,11-Dec-0021,02-Mar-0022,82
MWI,Africa,Malawi,19129955,18.1,1.3,3,1,8.858916365,4,95,440,600,61433,2268,14874,10.27213671,10.03237656,10.51189686,5.707445823,5.667832548,5.747059099,42.90283854,42.6070039,43.19867319,23-Jun-21,22-Sep-21,92
MLI,Africa,Mali,20250834,16.4,0.1,3,1,6.576448675,7,77,340,600,5761,154,3569,10.64404262,10.24838837,11.03969688,0.817892536,0.802463216,0.833321856,41.15465931,40.54600816,41.76331045,09-Mar-0021,18-May-0021,71
MRT,Africa,Mauritania,4649660,20.3,NaN,3,1,6.203294223,4,82,460,600,14617,278,34182,12.57396428,11.99519687,13.1527317,6.284577342,6.147943526,6.421211158,41.61042309,40.76366149,42.45718469,05-Jul-0021,21-Sep-0021,79
MAR,Africa,Morocco,36910558,29.6,1.1,3,1,8.388289358,6,104,485,620,942280,14561,848299,11.68295415,11.38067386,11.98523445,13.94085348,13.83189578,14.04981118,44.31626288,43.9437605,44.68876527,12-Jul-21,18-Oct-21,99
SEN,Africa,Senegal,16743930,18.7,NaN,3,1,7.702063782,8,86,450,600,73588,1842,5031,10.12715581,9.859350776,10.39496085,4.137876289,4.097117008,4.178635569,40.70918705,40.35423885,41.06413526,01-Jul-21,17-Sep-21,79
YEM,Asia,Yemen,29825968,20.3,0.7,3,1,6.993603405,8,128,450,600,2978,573,6568,17.1585366,16.39977297,17.91730024,1.942505246,1.910272438,1.974738053,57.10147359,56.10641783,58.09652935,30-Jul-0021,27-Nov-0021,121
ZMB,Africa,Zambia,18383956,17.7,2,3,1,8.168126817,6,81,425,600,203553,3564,10900,9.182031778,8.804651145,9.559412411,12.13273558,11.99422854,12.27124261,29.73129001,29.28256123,30.18001879,05-Jun-21,19-Aug-21,76
ZWE,Africa,Zimbabwe,14862927,19.6,1.7,3,1,8.957148528,3,87,450,600,126056,4521,20147,9.377984493,9.069726311,9.686242676,18.81677184,18.64015327,18.99339042,38.24023726,37.86399992,38.61647459,17-Jun-21,09-Sep-21,85
