iso_code,continent,location,population,medianAge,bed,flag_wave,flag_type,K,startpoint,endpoint,startpoint_rough,endpoint_rough,confirmed_wave,deaths_wave,maxQuarantined_wave,tau,tau_lb,tau_ub,s0,s0_lb,s0_ub,tc,tc_lb,tc_ub,startDate,endDate,duration
AFG,Asia,Afghanistan,38928341,18.6,0.5,2,1,7.31411825,4,117,200,400,15357,930,4636,15.44957247,15.18680473,15.71234022,2.449940758,2.431717649,2.468163867,63.69077287,63.31610711,64.06543864,11-Oct-0020,01-Feb-0021,114
SWZ,Africa,Eswatini,1160164,21.5,2.1,2,1,7.521511818,3,68,245,400,9763,510,4552,8.641879661,8.292249511,8.991509812,44.69735559,44.05996143,45.33474975,31.74024444,31.28913595,32.19135293,18-Dec-0020,21-Feb-0021,66
MDG,Africa,Madagascar,27691019,19.6,0.2,2,1,6.40212664,6,128,290,450,22527,629,6480,19.05616787,18.89967374,19.21266201,2.296668295,2.289835463,2.303501127,51.53766003,51.3412008,51.73411925,07-Mar-0021,07-Jul-0021,123
MWI,Africa,Malawi,19129955,18.1,1.3,2,1,7.9266131,4,59,270,400,25261,853,14089,6.938650759,6.605738773,7.271562744,4.417499735,4.349155227,4.485844244,25.9349078,25.51762238,26.35219323,04-Jan-0021,28-Feb-0021,56
MLI,Africa,Mali,20250834,16.4,0.1,2,1,7.566470905,3,90,230,350,4397,200,1497,11.49809483,11.08535821,11.91083145,0.978588734,0.96670526,0.990472209,40.46275086,39.93958115,40.98592056,15-Nov-0020,10-Feb-0021,88
MRT,Africa,Mauritania,4649660,20.3,NaN,2,1,7.823596938,6,70,235,350,16506,419,2968,8.180380521,7.787504463,8.57325658,5.265753923,5.183553201,5.347954645,29.81828176,29.32547255,30.31109097,24-Nov-20,27-Jan-21,65
MAR,Africa,Morocco,36910558,29.6,1.1,2,1,6.952649563,5,225,135,400,484753,8653,49800,31.64261308,31.21392149,32.07130467,23.31917352,23.19303723,23.44530981,109.2217966,108.6422267,109.8013665,26-Jul-20,03-Mar-21,221
SEN,Africa,Senegal,16743930,18.7,NaN,2,1,7.057475613,4,150,245,440,24188,774,4884,20.68728367,20.23983634,21.134731,4.722902323,4.683837733,4.761966914,71.03619907,70.44289345,71.6295047,04-Dec-0020,29-Apr-0021,147
SRB,Europe,Serbia,6804596,41.2,5.609,2,1,6.743598946,7,85,90,200,19556,471,30782,11.56652414,11.3629548,11.77009348,6.927228082,6.887824307,6.966631857,30.7885262,30.54445116,31.03260124,23-Jun-0020,09-Sep-0020,79
SVN,Europe,Slovenia,2078932,44.5,4.5,2,1,7.03413661,5,151,215,400,199854,3929,24419,20.75592331,19.96477379,21.54707282,179.7772379,177.5349381,182.0195377,59.8667708,58.89888776,60.83465384,18-Oct-20,13-Mar-21,147
SWE,Europe,Sweden,10099270,41,2.22,2,1,6.430375256,9,126,240,400,558245,7045,551200,18.1948946,17.55295245,18.83683674,72.51693899,71.40896067,73.6249173,59.09871575,58.20225068,59.99518083,12-Nov-0020,09-Mar-0021,118
CHE,Europe,Switzerland,8654618,43.1,4.53,2,1,6.354173125,6,139,220,400,554932,10002,164049,20.93112627,20.75388092,21.10837162,95.62714842,95.32523892,95.92905792,57.42963558,57.20385522,57.65541594,16-Oct-20,26-Feb-21,134
YEM,Asia,Yemen,29825968,20.3,0.7,2,1,8.209318907,5,100,295,450,6723,1316,580,11.57221459,11.26462578,11.87980339,2.317102326,2.29792991,2.336274742,43.57268114,43.1907083,43.95465399,22-Feb-21,28-May-21,96
ZMB,Africa,Zambia,18383956,17.7,2,2,1,7.316295137,4,100,270,400,69175,839,9659,13.12139521,12.58872772,13.65406271,4.466157704,4.412346838,4.51996857,36.62008476,35.99113628,37.24903325,30-Dec-0020,05-Apr-0021,97
ZWE,Africa,Zimbabwe,14862927,19.6,1.7,2,1,8.82163708,3,59,280,400,35910,1448,3190,6.348028092,6.084555007,6.611501176,7.246363918,7.164169413,7.328558424,24.076149,23.75912653,24.39317148,29-Dec-20,23-Feb-21,57
DNK,Europe,Denmark,5792203,42.3,2.5,2,1,7.467974624,5,105,245,400,209682,2351,43365,13.39051149,13.24622702,13.53479596,28.51411286,28.38675717,28.64146855,55.1714151,54.97090371,55.3719265,17-Nov-20,25-Feb-21,101
IND,Asia,India,1380004385,28.2,0.53,2,1,9.608029242,5,159,380,800,32768880,438560,3745237,16.02826096,15.54807667,16.50844525,19.27825285,19.1431618,19.4133439,55.01506246,54.45571809,55.57440683,29-Mar-21,30-Aug-21,155
