iso_code,continent,location,population,medianAge,bed,flag_wave,flag_type,K,startpoint,endpoint,startpoint_rough,endpoint_rough,confirmed_wave,deaths_wave,maxQuarantined_wave,tau,tau_lb,tau_ub,s0,s0_lb,s0_ub,tc,tc_lb,tc_ub,startDate,endDate,duration
NPL,Asia,"Nepal",29136808,25,0.3,1,1,6.334806066,1,180,80,278,270745,2025,23507,28.2565872,27.73560584,28.77756856,7.080213971,7.017184986,7.143242956,96.77407557,96.00002517,97.54812598,03-Aug-0020,29-Jan-0021,180
NLD,Europe,"Netherlands",17134873,43.2,3.32,1,1,7.405947009,7,82,5,147,46442,5951,27134,10.12699658,9.594414023,10.65957913,34.38501748,33.83767118,34.93236377,30.03378887,29.395286,30.67229173,16-Mar-0020,30-May-0020,76
NIC,North America,"Nicaragua",6624554,27.3,0.9,1,1,5.441592851,4,138,40,328,3979,147,893,24.62514261,24.24677444,25.00351078,2.199589954,2.185827143,2.213352765,55.37536788,54.89351102,55.85722474,09-May-0020,20-Sep-0020,135
NGA,Africa,"Nigeria",206139587,18.1,NaN,1,1,6.421694021,4,160,30,332,58324,1108,22300,24.29265541,24.16420015,24.42111067,0.529065232,0.52805023,0.530080233,65.8305844,65.6691082,65.9920606,24-Apr-0020,27-Sep-0020,157
NOR,Europe,"Norway",5421242,39.7,3.6,1,1,8.524349503,2,55,10,100,8237,232,3064,6.21748322,5.835665169,6.599301272,3.87527562,3.816278642,3.934272599,18.85442415,18.41438604,19.29446227,24-Mar-0020,16-May-0020,54
PAK,Asia,"Pakistan",220892331,23.5,0.6,1,1,7.779335672,5,124,25,175,285921,6129,97810,15.29693601,15.02152727,15.57234476,2.803555918,2.783778784,2.823333053,64.58914827,64.21554747,64.96274907,15-Apr-0020,12-Aug-0020,120
PRT,Europe,"Portugal",10196707,46.2,3.39,1,1,6.890884141,3,91,1,150,37036,1520,19700,12.77049479,11.88591989,13.65506968,14.34807913,14.03492393,14.66123433,34.22619445,33.17229582,35.28009308,19-Mar-0020,15-Jun-0020,89
QAT,Asia,"Qatar",2881060,31.9,1.2,1,1,6.386001865,6,98,45,160,115080,193,35634,14.40651004,13.61650209,15.196518,6.003038673,5.879132486,6.126944861,40.7184978,39.70365156,41.73334405,16-May-0020,16-Aug-0020,93
SEN,Africa,"Senegal",16743930,18.7,NaN,1,1,6.823781067,2,157,30,251,15068,312,3001,22.71467951,22.26806868,23.16129034,1.862088555,1.84677026,1.877406851,79.35340756,78.7359167,79.97089841,01-May-0020,03-Oct-0020,156
SRB,Europe,"Serbia",6804596,41.2,5.609,1,1,5.982774916,4,67,1,100,11193,239,649,10.53023068,10.32375133,10.73671004,3.63541598,3.606377027,3.664454934,28.92425946,28.65088873,29.19763019,23-Mar-0020,25-May-0020,64
SVN,Europe,"Slovenia",2078932,44.5,4.5,1,1,7.745725226,6,61,1,106,1463,103,412,7.100690819,6.64715738,7.554224258,4.893811965,4.792218926,4.995405004,25.56282115,24.99465095,26.13099135,19-Mar-0020,13-May-0020,56
ESP,Europe,"Spain",46754783,45.5,2.97,1,1,7.609258367,2,70,10,153,232555,27888,85610,8.936481943,8.299128692,9.573835195,57.76697869,56.56448592,58.96947145,26.82357579,26.06545303,27.58169855,13-Mar-0020,20-May-0020,69
SDN,Africa,"Sudan",43849269,19.7,0.8,1,1,9.279584672,3,123,40,240,12682,812,4786,12.93161324,12.15756355,13.70566293,1.663211352,1.63739718,1.689025524,49.14504968,48.22190069,50.06819866,23-Apr-0020,21-Aug-0020,121
SWE,Europe,"Sweden",10099270,41,2.22,1,1,6.802286551,6,123,5,220,73364,5545,32197,17.20009869,16.36057519,18.03962219,54.32024358,53.42170827,55.21877889,48.63129218,47.59567471,49.66690965,19-Mar-0020,14-Jul-0020,118
CHE,Europe,"Switzerland",8654618,43.1,4.53,1,1,7.567243181,4,61,5,103,30251,1745,11442,7.532465739,7.175108953,7.889822525,20.15750307,19.83748263,20.47752351,26.68224778,26.23092451,27.13357106,13-Mar-0020,09-May-0020,58
ARE,Asia,"United Arab Emirates",9890400,34,1.2,1,1,7.24520546,2,90,30,300,56129,335,14626,12.14596335,10.98570489,13.30622182,2.823243113,2.76045381,2.886032417,23.08717098,21.90840656,24.2659354,19-Apr-0020,16-Jul-0020,89
GBR,Europe,"United Kingdom",67886004,40.8,2.54,1,1,7.553079778,7,88,10,181,267656,39025,138120,10.72410227,10.08545045,11.36275409,55.20015676,54.242704,56.15760952,31.35884784,30.60246295,32.11523272,21-Mar-0020,10-Jun-0020,82
UZB,Asia,"Uzbekistan",33469199,28.2,4,1,1,6.373305385,2,154,90,256,71985,604,9549,23.84947697,23.06030668,24.63864725,1.770452844,1.747608642,1.793297046,68.73247854,67.69903284,69.76592425,25-Jun-0020,24-Nov-0020,153
YEM,Asia,"Yemen",29825968,20.3,0.7,1,1,7.433252817,5,114,10,181,1953,564,167,14.66383597,13.9485387,15.37913324,1.81156425,1.783460692,1.839667808,46.02760595,45.14974773,46.90546417,13-May-0020,30-Aug-0020,110
ZMB,Africa,"Zambia",18383956,17.7,2,1,1,4.381951046,3,48,100,250,11376,282,628,10.26939816,8.125440064,12.41335625,1.481453859,1.305368033,1.657539685,22.4603241,19.15907652,25.76157168,12-Jul-0020,26-Aug-0020,46
ZWE,Africa,"Zimbabwe",14862927,19.6,1.7,1,1,6.365102567,6,75,100,230,7508,224,672,10.84035949,10.14879388,11.53192509,1.558763917,1.506160842,1.611366991,40.82011372,39.73208932,41.90813813,05-Jul-0020,12-Sep-0020,70
,Asia,"Wuhan",11210000,38.7,8.59,1,1,8.24121700107555,2,53,1,80,49999,2456,37746,6.18840639596604,6.0116276200125,6.36518517191958,21.8807669034256,21.6876916460165,22.0738421608347,23.9326007160138,23.7132924670327,24.1519089649949,23-Jan-2020,14-Mar-2020,52
