iso_code,continent,location,population,medianAge,bed,flag_wave,flag_type,K,startpoint,endpoint,startpoint_rough,endpoint_rough,confirmed_wave,deaths_wave,maxQuarantined_wave,tau,tau_lb,tau_ub,s0,s0_lb,s0_ub,tc,tc_lb,tc_ub,startDate,endDate,duration
NZL,Oceania,New Zealand,4822233,37.9,2.61,1,3,7.16902848224885,8,38,1,200,1488,21,1,4.18466743077987,3.58969449853261,4.77964036302713,0.426531510178821,0.407038898344306,0.446024122013336,13.3270302317605,12.5956544581668,14.0584060053541,NaN,NaN,31
ISL,Europe,Iceland,341250,37.3,2.91,1,3,5.2173891120981,1,35,1,200,1789,10,0,6.51666940484862,5.49265487954247,7.54068393015477,3.16910973258056,2.91635136506022,3.42186810010089,17.6771940203942,16.1566829591333,19.197705081655,NaN,NaN,35
