iso_code,continent,location,population,medianAge,bed,flag_wave,flag_type,K,startpoint,endpoint,startpoint_rough,endpoint_rough,confirmed_wave,deaths_wave,maxQuarantined_wave,tau,tau_lb,tau_ub,s0,s0_lb,s0_ub,tc,tc_lb,tc_ub,startDate,endDate,duration
AFG,Asia,Afghanistan,38928341,18.6,0.5,4,1,7.608789558,1,74,655,816,177093,7654,151591,9.594167304,9.291080102,9.897254506,0.763539613,0.753289286,0.77378994,42.0146321,41.58763628,42.44162793,06-Jan-0022,20-Mar-0022,74
SWZ,Africa,Eswatini,1160164,21.5,2.1,4,1,7.866596176,8,62,595,792,68367,1375,45213,6.86446829,6.565710012,7.163226567,11.03558995,10.87119659,11.19998331,26.95168134,26.56859952,27.33476317,08-Dec-0021,31-Jan-0022,55
MWI,Africa,Malawi,19129955,18.1,1.3,4,1,7.728678442,5,78,615,800,85328,2615,60072,9.445340565,9.03321058,9.85747055,1.577495132,1.556501552,1.598488712,30.93258062,30.43051495,31.43464629,16-Dec-0021,27-Feb-0022,74
MLI,Africa,Mali,20250834,16.4,0.1,4,1,4.734447972,4,109,570,810,30156,715,16758,22.17787599,20.83352434,23.52222764,0.890253554,0.851816077,0.928691031,62.51072151,60.01120906,65.01023397,22-Oct-0021,04-Feb-0022,106
MRT,Africa,Mauritania,4649660,20.3,NaN,4,1,6.574906621,6,76,620,800,58618,977,39112,10.64653904,10.29803611,10.99504196,2.960100202,2.918104735,3.002095669,36.59578797,36.10658678,37.08498916,14-Dec-0021,22-Feb-0022,71
MAR,Africa,Morocco,36910558,29.6,1.1,4,1,7.960127407,5,74,655,800,1161698,16022,1044574,8.668202967,8.52638808,8.810017853,3.276893415,3.257620476,3.296166353,36.0685998,35.88293265,36.25426695,28-Dec-0021,07-Mar-0022,70
CHE,Europe,Switzerland,8654618,43.1,4.53,4,1,6.661609525,1,239,550,833,3619598,13714,3255625,35.72710155,34.95677715,36.49742595,33.76274453,33.4163593,34.10912975,131.5749049,130.4337222,132.7160877,06-Sep-0021,02-May-0022,239
ZMB,Africa,Zambia,18383956,17.7,2,4,1,7.78778473,3,62,620,800,309013,3936,206553,7.575966985,7.282845665,7.869088305,1.422671742,1.405217465,1.440126018,26.70123737,26.33744278,27.06503196,14-Dec-0021,11-Feb-0022,60
ZWE,Africa,Zimbabwe,14862927,19.6,1.7,4,1,8.362212045,3,68,620,800,230402,5362,145908,7.773062875,7.468195035,8.077930715,4.345396135,4.293334827,4.397457443,30.1752187,29.79796457,30.55247282,04-Dec-0021,07-Feb-0022,66
